ano_eleicao;sigla_partido;nome_coligacao;nome_candidato;nome_municipio
2012;PSB;COM A FORÇA DO POVO;MARCOS AURELIO MARTINS DE PAIVA;MARI
2012;PSB;DONA INES PARA TODOS;ANTONIO JUSTINO DE ARAUJO NETO;DONA INÊS
2012;PSB;FRENTE POPULAR 'A FORÇA DO POVO';LUIZ GALVÃO DA SILVA;JURU
2012;PSB;MARCAÇÃO NO RUMO CERTO;ADRIANO DE OLIVEIRA BARRETO;MARCAÇÃO
2012;PSB;PARTIDO ISOLADO;JAIRO HERCULANO DE MELO;MONTADAS
2012;PSB;PIRPIRITUBA NO CAMINHO CERTO;RINALDO DE LUCENA GUEDES;PIRPIRITUBA
2012;PSB;POÇO DANTAS CADA VEZ MELHOR;JOSE GURGEL SOBRINHO;POÇO DANTAS
2012;PSB;POR UMA NOVA SERRA GRANDE;JAIRO HALLEY DE MOURA CRUZ;SERRA GRANDE
2012;PSB;RENOVA SAPÉ;FLAVIO ROBERTO MALHEIROS FELICIANO;SAPÉ
2012;PSB;TODOS UNIDOS POR SANTA CECÍLIA;DANIEL LOPES DE MENDONÇA;SANTA CECÍLIA
2012;PSB;UNIDOS PARA CRESCER II;GUILHERME CUNHA MADRUGA JUNIOR;CUITEGI
2012;PSB;UNIDOS PARA MUDAR;AGUIFAILDO LIRA DANTAS;FREI MARTINHO
2012;PSB;UNIDOS PARA RECOMEÇAR;LUCIA DE FATIMA AIRES MIRANDA;PUXINANÃ
2012;PSB;UNIDOS PARA RECONSTRUIR;JOÃO BOSCO NONATO FERNANDES;UIRAÚNA
2012;PSB;UNIDOS PARA RENOVAR E LIBERTAR;GERALDO TERTO DA SILVA;CACIMBAS
2012;PSB;UNIDOS POR BAYEUX;EXPEDITO PEREIRA DE SOUZA;BAYEUX
2012;PSB;UNIDOS POR FAGUNDES;JOSÉ PEDRO DA SILVA;FAGUNDES
2012;PSB;UNIDOS POR MULUNGU;JOANA DARC RODRIGUES BANDEIRA FERRAZ;MULUNGU
2012;PSB;UNIDOS POR PEDRA LAVRADA;ROBERTO JOSÉ VASCONCELOS CORDEIRO;PEDRA LAVRADA
2012;PSC;'SE VOCÊ MUDAR, SÃO JOÃO MUDA PARA MELHOR.';JOSÉ AIRTON PIRES DE SOUSA;SÃO JOÃO DO RIO DO PEIXE
2012;PSC;BELÉM! CONTINUAMOS CRESCENDO COM AMOR E LIBERDADE;GERMANO LACERDA DA CUNHA;BELÉM DO BREJO DO CRUZ
2012;PSC;COLIGAÇÃO CARAÚBAS EM BOAS MÃOS;SEVERINO VIRGÍNIO DA SILVA;CARAÚBAS
2012;PSC;COLIGAÇÃO PROGRESSISTA DE ESPERANÇA;ANDERSON MONTEIRO COSTA;ESPERANÇA
2012;PSC;ESSE É O CAMINHO;RONALDO RAMOS DE QUEIROZ;GURJÃO
2012;PSC;JUNTOS POR UMA MASSARANDUBA MELHOR;JOANA DARC QUEIROGA MENDONCA COUTINHO;MASSARANDUBA
2012;PSC;LAGOA SECA DE TODOS;JOSÉ TADEU SALES DE LUNA;LAGOA SECA
2012;PSC;PELO BEM DE CATURITÉ;JAIR DA SILVA RAMOS;CATURITÉ
2012;PSC;UNIDOS PARA CRESCER 1;JOVENTINO ERNESTO DO REGO NETO;BARRA DE SANTANA
2012;PSC;UNIDOS REFAZENDO BOM SUCESSO;IVALDO WASHINGTON DE LIMA;BOM SUCESSO
2012;PSD;A VONTADE DO POVO;JULIO CÉSAR QUEIROGA DE ARAÚJO;APARECIDA
2012;PSD;COLIGAÇÃO FILHOS DE JUNCO;COSMO SIMOES DE MEDEIROS;JUNCO DO SERIDÓ
2012;PSD;COLIGAÇÃO FRENTE POPULAR DE OPOSIÇÃO;MANOEL BATISTA CHAVES FILHO;INGÁ
2012;PSD;COLIGAÇÃO UNIDOS PARA CONTINUAR CRESCENDO;RAFAEL ANDERSON DE FARIAS OLIVEIRA;ASSUNÇÃO
2012;PSD;COLIGAÇÃO UNIDOS PARA MUDAR;JOÃO PAULO BARBOSA LEAL SEGUNDO;BOQUEIRÃO
2012;PSD;CRUZ DO ESPÍRITO SANTO SEGUE EM FRENTE;PEDRO GOMES PEREIRA;CRUZ DO ESPÍRITO SANTO
2012;PSD;DE MÃOS UNIDAS COM DEUS E O POVO;ALDO LUSTOSA DA SILVA;IMACULADA
2012;PSD;FAZENDO O BEM A QUEIMADAS;JACÓ MOREIRA MACIEL;QUEIMADAS
2012;PSD;FORTE É O POVO;FABIANO PEDRO DA SILVA;LAGOA DE DENTRO
2012;PSD;JUAREZ UNIDOS PELA PAZ;MARIA ANA FARIAS DOS SANTOS;JUAREZ TÁVORA
2012;PSD;O TRABALHO CONTINUA;LUIS CARLOS FRANCISCO DOS SANTOS;CASSERENGUE
2012;PSD;OURO VELHO AVANTE;NATALIA CARNEIRO NUNES DE LIRA;OURO VELHO
2012;PSD;POR AMOR A JURIPIRANGA;PAULO DALIA TEIXEIRA;JURIPIRANGA
2012;PSD;PRA MUDAR PITIMBU;LEONARDO JOSÉ BARBALHO CARNEIRO;PITIMBU
2012;PSD;UNIDOS POR SOSSEGO;CARLOS ANTONIO ALVES DA SILVA;SOSSÊGO
2012;PSD;UNINDO TRADIÇÃO E RENOVAÇÃO;EMMANUEL FELIPE LUCENA MESSIAS;SANTA HELENA
2012;PSDB;A HORA DA MUDANÇA CHEGOU;GIOVANA LEITE CAVALCANTI OLIMPIO;SÃO BENTINHO
2012;PSDB;A UNIÃO CONTINUA;JOSE CONSTANCIO SOBRINHO;RIACHÃO DO POÇO
2012;PSDB;A VITÓRIA É NOSSA;OLIMPIO DE ALENCAR ARAUJO BEZERRA;MATARACA
2012;PSDB;AGORA É A VEZ DO POVO;ROBERTO BANDEIRA DE MELO BARBOSA;BOM JESUS
2012;PSDB;COLIGAÇÃO A FORÇA DO POVO;RENÊ TRIGUEIRO CAROCA;SÃO JOSÉ DE ESPINHARAS
2012;PSDB;COLIGAÇÃO DEMOCRATICA BOAVISTENSE;EDVAN PEREIRA LEITE;BOA VISTA
2012;PSDB;COLIGAÇÃO ESSA VITÓRIA É DO POVO;SEVERINO FERREIRA DA SILVA;SERRARIA
2012;PSDB;COLIGAÇÃO SOCIALISTA, DEMOCRATICA, TRABALHISTA E LIBERAL;JOSE SIMAO DE SOUSA;MANAÍRA
2012;PSDB;COLIGAÇÃO UNIDOS PARA SALGADINHO CONTINUAR CRESCENDO;DEBORA CRISTIANE FARIAS MORAIS;SALGADINHO
2012;PSDB;CURRAL VELHO PARA TODOS;JOAQUIM ALVES BARBOSA FILHO;CURRAL VELHO
2012;PSDB;FEITA PELO O POVO QUE AMA CONCEIÇÃO;JOSE IVANILSON SOARES DE LACERDA;CONCEIÇÃO
